31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
17,63,60,60,60,61,62,60,135,75,135,60,60,60,60,61,62,60,60,15
17,66,67,64,69,66,67,68,69,66,67,68,69,64,67,68,69,66,67,15
17,81,82,83,84,81,82,83,84,81,82,83,84,81,82,83,84,81,64,15
17,96,97,98,99,96,97,98,99,96,64,64,99,96,97,98,64,96,97,15
17,64,112,113,114,111,112,64,114,111,112,113,114,111,112,113,114,111,112,15
17,66,67,68,69,66,67,68,69,66,67,68,69,66,67,68,69,66,67,15
17,81,82,83,84,81,82,83,84,81,82,83,84,81,82,83,84,81,64,15
17,96,97,98,99,96,97,98,99,96,64,98,99,96,64,98,99,96,97,15
17,111,112,64,114,111,112,113,114,111,112,113,114,111,112,113,114,111,112,15
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
