0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2
18,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,30
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,-1
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
30,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,32
