-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,194,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,161,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,129,129,131,129,129,129,129,129,129,129,129,129,129,129,129,-1,-1
-1,-1,129,129,129,129,129,129,129,129,129,129,129,129,129,129,161,-1,-1
-1,-1,129,193,129,129,129,129,131,129,162,129,129,131,129,129,129,-1,-1
-1,129,129,129,129,129,129,129,129,129,129,129,129,129,130,129,129,130,-1
-1,-1,129,129,130,129,129,129,129,129,129,129,129,129,129,129,129,-1,-1
-1,-1,129,129,129,129,129,129,129,129,129,131,129,129,131,131,193,-1,-1
-1,-1,129,130,129,129,129,129,129,129,129,129,129,129,129,129,129,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,256,162,257,-1,-1,-1,-1,-1,-1,-1,-1
