0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2
18,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
32,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
-1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
18,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,18
30,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,32
